annee,dept,libelle_classe_age,patho_niv1,Npop,Ntop,prev_calculee
2015,9,tous âges,Maladies du foie ou du pancréas (hors mucoviscidose),289960,2900.0,1.0
2015,9,tous âges,Maladies inflammatoires ou rares ou infection VIH,2899600,14160.0,0.49
2015,9,tous âges,Maladies neurologiques,2319680,19100.0,0.82
2015,9,tous âges,Maladies psychiatriques,2029720,28940.0,1.43
2015,9,tous âges,Maladies respiratoires chroniques (hors mucoviscidose),289960,18590.0,6.41
2015,11,de 0 à 4 ans,Cancers,35380,40.0,0.11
2015,11,de 0 à 4 ans,Maladies cardioneurovasculaires,123830,230.0,0.19
2015,11,de 0 à 4 ans,Maladies inflammatoires ou rares ou infection VIH,115220,200.0,0.17
2015,11,de 0 à 4 ans,Maladies neurologiques,88450,340.0,0.38
2015,11,de 0 à 4 ans,Maladies psychiatriques,97530,280.0,0.29
2015,11,de 0 à 4 ans,Maladies respiratoires chroniques (hors mucoviscidose),35380,2940.0,8.31
2015,11,de 10 à 14 ans,Cancers,107420,140.0,0.13
2015,11,de 10 à 14 ans,Diabète,39340,100.0,0.25
2015,11,de 10 à 14 ans,Maladies cardioneurovasculaires,78680,280.0,0.36
2015,11,de 10 à 14 ans,Maladies inflammatoires ou rares ou infection VIH,196700,420.0,0.21
2015,11,de 10 à 14 ans,Maladies neurologiques,118020,620.0,0.53
2015,11,de 10 à 14 ans,Maladies psychiatriques,196700,1470.0,0.75
2015,11,de 10 à 14 ans,Maladies respiratoires chroniques (hors mucoviscidose),39340,1450.0,3.69
2015,11,de 15 à 19 ans,Cancers,135800,220.0,0.16
2015,11,de 15 à 19 ans,Diabète,38800,140.0,0.36
2015,11,de 15 à 19 ans,Maladies cardioneurovasculaires,145550,310.0,0.21
2015,11,de 15 à 19 ans,Maladies du foie ou du pancréas (hors mucoviscidose),29150,30.0,0.1
2015,11,de 15 à 19 ans,Maladies inflammatoires ou rares ou infection VIH,194100,380.0,0.2
2015,11,de 15 à 19 ans,Maladies neurologiques,126150,670.0,0.53
2015,11,de 15 à 19 ans,Maladies psychiatriques,261950,1900.0,0.73
2015,11,de 15 à 19 ans,Maladies respiratoires chroniques (hors mucoviscidose),38800,1050.0,2.71
2015,11,de 20 à 24 ans,Cancers,116040,290.0,0.25
2015,11,de 20 à 24 ans,Diabète,33200,100.0,0.3
2015,11,de 20 à 24 ans,Maladies cardioneurovasculaires,149560,460.0,0.31
2015,11,de 20 à 24 ans,Maladies du foie ou du pancréas (hors mucoviscidose),24980,70.0,0.28
2015,11,de 20 à 24 ans,Maladies inflammatoires ou rares ou infection VIH,174220,560.0,0.32
